,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
0,bio_source_108T,0,0.5652764251205941,0.5498308935173312,7.560724496841431
1,bio_source_108T,1,0.629027972583063,0.4637826293067064,7.59201717376709
2,bio_source_108T,2,0.6253053961396977,0.5075080916851911,7.543112277984619
3,bio_source_108T,3,0.6018078128940902,0.5295509315940353,7.587577819824219
4,bio_source_108T,4,0.6087419743245621,0.5068936687736982,7.557871580123901
5,bio_source_108T,5,0.5752909660329104,0.519408086125095,7.571381092071533
6,bio_source_108T,6,0.5894553661326811,0.5405624737228402,7.654844045639038
7,bio_source_108T,7,0.6200246352441448,0.47004848179044,7.566205739974976
8,bio_source_108T,8,0.5521631866169407,0.5218881410553639,7.569419145584106
9,bio_source_108T,9,0.5752508285610443,0.5563297347549587,7.575551271438599
10,bio_source_108T,mean,0.5942344563649729,0.5165803132325659,7.577870464324951
11,bio_source_12T,0,0.3707293956252637,0.4586755780170176,7.585354804992676
12,bio_source_12T,1,0.4541670816807917,0.3985646773085148,7.666117906570435
13,bio_source_12T,2,0.4495795398137467,0.4842030559393343,7.584336519241333
14,bio_source_12T,3,0.476414370535882,0.4028696672259856,7.55829119682312
15,bio_source_12T,4,0.4809151080759691,0.4103444618457183,7.562008619308472
16,bio_source_12T,5,0.4493656726604644,0.4356592873613286,7.602885961532593
17,bio_source_12T,6,0.460556253974916,0.451402798431345,7.688530206680298
18,bio_source_12T,7,0.4407896255065935,0.4204727925386917,7.606178998947143
19,bio_source_12T,8,0.425132600375501,0.3891019111776447,7.597884654998779
20,bio_source_12T,9,0.4620251091401569,0.4235950688474652,7.590115785598755
21,bio_source_12T,mean,0.4469674757389285,0.4274889298693045,7.604170465469361
22,bio_source_A2780,0,0.46841128630483,0.2546321627306196,7.577883958816528
23,bio_source_A2780,1,0.5122115492961679,0.2316741210559247,7.66739296913147
24,bio_source_A2780,2,0.4667900950357423,0.2678233693476037,7.572296619415283
25,bio_source_A2780,3,0.5050484524675769,0.2468130987198314,7.585371732711792
26,bio_source_A2780,4,0.5311565828855929,0.2343047779619141,7.544487714767456
27,bio_source_A2780,5,0.5429224612534989,0.2394205028540405,7.579714059829712
28,bio_source_A2780,6,0.4849439779302777,0.2544209087995891,7.697194099426269
29,bio_source_A2780,7,0.4538495243946141,0.2477755701003168,7.621783018112183
30,bio_source_A2780,8,0.4811869854937396,0.2376910127339702,7.586284637451172
31,bio_source_A2780,9,0.510908751364187,0.2509680695042215,7.593738079071045
32,bio_source_A2780,mean,0.4957429666426227,0.2465523593808032,7.602614688873291
33,bio_source_A549,0,0.4686440567928365,0.2247774037887802,7.701600551605225
34,bio_source_A549,1,0.5313705076857327,0.2000038493509294,7.577411413192749
35,bio_source_A549,2,0.4962448355241612,0.2272292419194309,7.605249643325806
36,bio_source_A549,3,0.5112743222246086,0.2170695963325003,7.567331790924072
37,bio_source_A549,4,0.5556744818102455,0.198071979137782,7.576455593109131
38,bio_source_A549,5,0.5538640515638781,0.1904590982392071,7.688317060470581
39,bio_source_A549,6,0.5172776686702935,0.2170646358606697,7.585185527801514
40,bio_source_A549,7,0.5150529576373927,0.2020846713747496,7.61067533493042
41,bio_source_A549,8,0.5184594234790683,0.197569170631618,7.593147754669189
42,bio_source_A549,9,0.5522709177420712,0.1859627209523293,7.588659048080444
43,bio_source_A549,mean,0.5220133223130288,0.2060292367587997,7.609403371810913
44,bio_source_BJ,0,0.4843278139958751,0.2564908767033714,7.699515342712402
45,bio_source_BJ,1,0.558432593911915,0.2271601481987882,7.57981276512146
46,bio_source_BJ,2,0.4817225637297637,0.2769044051619436,7.5458900928497314
47,bio_source_BJ,3,0.5334498373152952,0.2267664903012925,7.586564064025879
48,bio_source_BJ,4,0.5710212985794723,0.2133199245373639,7.568164348602295
49,bio_source_BJ,5,0.5216753802462988,0.2433775007285971,7.692074298858643
50,bio_source_BJ,6,0.5204697607155104,0.2522454055576224,7.619455337524414
51,bio_source_BJ,7,0.5089050971607998,0.2349339006813369,7.607712268829346
52,bio_source_BJ,8,0.4657391706808784,0.2447887573186305,7.587916612625122
53,bio_source_BJ,9,0.5434475745247382,0.224606966369845,7.5980048179626465
54,bio_source_BJ,mean,0.5189191090860547,0.2400594375558792,7.608510994911194
55,bio_source_BRx-142,0,0.3836190728971873,0.907824673896552,7.703715085983276
56,bio_source_BRx-142,1,0.3834726617372519,0.9669062766443788,7.627626657485962
57,bio_source_BRx-142,2,0.3956425848758121,0.9564315282918976,7.737501382827759
58,bio_source_BRx-142,3,0.3949585297750277,0.8623367814813309,7.606979608535767
59,bio_source_BRx-142,4,0.3966370431874708,0.9226373178117172,7.631641626358032
60,bio_source_BRx-142,5,0.348216692155839,0.8820923038251263,7.688213109970093
61,bio_source_BRx-142,6,0.4023157813983828,0.8795191712114158,7.61080002784729
62,bio_source_BRx-142,7,0.368305344746869,0.8513235297569866,7.609483242034912
63,bio_source_BRx-142,8,0.3738499120709635,0.9258465448660146,7.605092525482178
64,bio_source_BRx-142,9,0.3492676052192034,1.0110449372192765,7.596445560455322
65,bio_source_BRx-142,mean,0.3796285228064008,0.9165963065004696,7.641749882698059
66,bio_source_C643,0,-1.2158573312251586,1.91395541916015,7.647441864013672
67,bio_source_C643,1,-1.4667302004762988,1.870662448591836,7.591400623321533
68,bio_source_C643,2,-1.164432940715117,1.901976978441115,7.588470697402954
69,bio_source_C643,3,-1.3191199499320936,1.93075756282678,7.590254068374634
70,bio_source_C643,4,-1.2338665257323482,1.8877719562605884,7.676693201065063
71,bio_source_C643,5,-1.4358242755663595,1.725376321435176,7.572248458862305
72,bio_source_C643,6,-1.4533413323643911,1.9000492437156875,7.563441514968872
73,bio_source_C643,7,-1.2008742629156297,1.7702642427053927,7.580861330032349
74,bio_source_C643,8,-1.1943878536116537,1.7729900841410795,7.567310571670532
75,bio_source_C643,9,-1.1992639666825604,1.9033268405728776,7.643486499786377
76,bio_source_C643,mean,-1.288369863922161,1.857713109785068,7.602160882949829
77,bio_source_CRL-1634,0,0.589187546356353,0.2641681761062586,7.605367183685303
78,bio_source_CRL-1634,1,0.6602900761867025,0.2241619170679433,7.606732368469238
79,bio_source_CRL-1634,2,0.6291884023176519,0.2433005617817751,7.598429918289185
80,bio_source_CRL-1634,3,0.658112088460771,0.227702225293302,7.606745719909668
81,bio_source_CRL-1634,4,0.6445796683429901,0.2302014910111649,7.711245536804199
82,bio_source_CRL-1634,5,0.6295966916460706,0.2326000735892731,7.618921041488647
83,bio_source_CRL-1634,6,0.6492369038117358,0.2305405274798665,7.616435289382935
84,bio_source_CRL-1634,7,0.6389848014469834,0.2116313373958782,7.6047749519348145
85,bio_source_CRL-1634,8,0.6245692317027463,0.2289699837998669,7.6041624546051025
86,bio_source_CRL-1634,9,0.6310215369494698,0.2265811820143177,7.708159923553467
87,bio_source_CRL-1634,mean,0.6354766947221474,0.2319857475539646,7.628097438812256
88,bio_source_Calu-3,0,0.5372728886993197,0.3006537782864135,7.644031524658203
89,bio_source_Calu-3,1,0.6020354890557241,0.2341139745644962,7.606196165084839
90,bio_source_Calu-3,2,0.5870288907687353,0.2623875953478298,7.620820760726929
91,bio_source_Calu-3,3,0.5745441858319837,0.2747532887362936,7.580517530441284
92,bio_source_Calu-3,4,0.5925745436930041,0.2430654011676719,7.65636682510376
93,bio_source_Calu-3,5,0.5681717903418498,0.2485602715299054,7.610857725143433
94,bio_source_Calu-3,6,0.5764041922426573,0.2626631463656102,7.630569934844971
95,bio_source_Calu-3,7,0.5854682761304639,0.2299398121181754,7.620321035385132
96,bio_source_Calu-3,8,0.5516398045455744,0.2695323779195632,7.602372646331787
97,bio_source_Calu-3,9,0.558746797653817,0.2558971899763717,7.6751227378845215
98,bio_source_Calu-3,mean,0.5733886858963129,0.2581566836012331,7.624717688560485
99,bio_source_Cybrid Cells,0,0.4435008122689127,0.3149779160154507,7.5968146324157715
100,bio_source_Cybrid Cells,1,0.5155185134608713,0.2710736597107859,7.61357569694519
101,bio_source_Cybrid Cells,2,0.4907431274747755,0.3261059612267512,7.632025957107544
102,bio_source_Cybrid Cells,3,0.5236583874636443,0.2708682159411176,7.694498538970947
103,bio_source_Cybrid Cells,4,0.5097308373661937,0.2910029113325499,7.58765435218811
104,bio_source_Cybrid Cells,5,0.4847121486198538,0.2966360271745432,7.604811191558838
105,bio_source_Cybrid Cells,6,0.5036928666667985,0.2924524158623386,7.608474731445312
106,bio_source_Cybrid Cells,7,0.4579313194374109,0.2797813233515002,7.595945596694946
107,bio_source_Cybrid Cells,8,0.4784884649385682,0.3019676460057,7.710180997848511
108,bio_source_Cybrid Cells,9,0.4851308705814291,0.2986211084054485,7.603522062301636
109,bio_source_Cybrid Cells,mean,0.4893107348278458,0.2943487185026185,7.624750375747681
110,bio_source_H1-hESC,0,0.5615613182409124,0.5430539937229535,7.645293235778809
111,bio_source_H1-hESC,1,0.5812593597423132,0.5160123964747932,7.590610980987549
112,bio_source_H1-hESC,2,0.5629147723747019,0.537160913897664,7.601833343505859
113,bio_source_H1-hESC,3,0.5783469740370349,0.5251457287880118,7.695681571960449
114,bio_source_H1-hESC,4,0.5859840373407106,0.5186006568486251,7.61932373046875
115,bio_source_H1-hESC,5,0.5834523714716874,0.5121782458150536,7.627341032028198
116,bio_source_H1-hESC,6,0.5840745647732819,0.51979679379496,7.6277666091918945
117,bio_source_H1-hESC,7,0.5558062962887063,0.4966702349172872,7.670719861984253
