,rank,mean_importance
3mer_freq_5_GCT,138.0,38.06450846976117
3mer_freq_5_GCG,105.0,61.67969011819061
3mer_freq_5_GCC,50.0,151.0928105977517
3mer_freq_5_CAA,142.0,36.60109734173062
3mer_freq_5_CAT,129.0,41.760366158809845
3mer_freq_5_CAG,110.0,57.86337416209752
3mer_freq_5_CAC,115.0,50.93826268224777
3mer_freq_5_CTA,153.0,24.42513105590132
3mer_freq_5_CTT,90.0,74.99814268927786
3mer_freq_5_CTG,111.0,57.52072649816923
3mer_freq_5_CTC,116.0,50.86690856131572
3mer_freq_5_CGA,101.0,64.31313145190855
3mer_freq_5_CGT,89.0,75.27073297659054
3mer_freq_5_CGG,76.0,100.9312317156339
3mer_freq_5_CGC,100.0,65.6158488246459
3mer_freq_5_CCA,126.0,45.417701080818716
3mer_freq_5_CCT,133.0,40.1324605500019
3mer_freq_5_CCG,77.0,99.53598726667181
3mer_freq_5_CCC,29.0,204.54931725863415
